.module 160, question# 0, 11501 vs 5942 differs
module 160, question# 1, 11502 vs 5943 differs
module 160, question# 2, 11503 vs 5944 differs
module 160, question# 3, 11504 vs 9123 differs
module 160, question# 4, 12563 vs 9128 differs
module 160, question# 5, 12564 vs 9129 differs
module 160, question# 6, 12568 vs 8976 differs
module 160, question# 7, 12569 vs 6072 differs
module 160, question# 8, 12574 vs 6080 differs
module 160, question# 9, 12582 vs 6081 differs
module 160, question# 10, 12583 vs 6082 differs
module 160, question# 11, 12584 vs 6083 differs
module 160, question# 12, 12585 vs 6084 differs
module 160, question# 13, 12586 vs 6085 differs
module 160, question# 14, 12587 vs 6086 differs
module 160, question# 15, 12588 vs 6087 differs
module 160, question# 16, 12589 vs 6088 differs
module 160, question# 17, 12590 vs 6089 differs
module 160, question# 18, 12591 vs 6090 differs
module 160, question# 19, 12592 vs 6091 differs
module 160, question# 20, 12593 vs 9135 differs
module 160, question# 21, 12594 vs 9136 differs
module 160, question# 22, 12595 vs 61 differs
module 160, question# 23, 61 vs 6073 differs
module 160, question# 24, 12575 vs 6074 differs
module 160, question# 25, 12576 vs 6075 differs
module 160, question# 26, 12577 vs 6076 differs
module 160, question# 27, 12578 vs 6077 differs
module 160, question# 28, 12579 vs 6078 differs
module 160, question# 29, 12580 vs 6079 differs
module 160, question# 30, 12581 vs 5945 differs
module 160, question# 31, 12570 vs 10147 differs
module 160, question# 32, 12571 vs 8106 differs
module 160, question# 33, 12572 vs 5946 differs
module 160, question# 34, 12573 vs 5947 differs
module 160, question# 35, 12565 vs 5948 differs
module 160, question# 36, 12566 vs 5949 differs
module 160, question# 37, 12567 vs 10156 differs
module 160, question# 38, 11505 vs 5955 differs
module 160, question# 39, 11506 vs 5962 differs
module 160, question# 40, 11507 vs 5969 differs <-------------------------------
module 160, question# 41, 11508 vs 5979 differs
module 160, question# 42, 11524 vs 5985 differs
module 160, question# 43, 11525 vs 6004 differs
module 160, question# 44, 11526 vs 6013 differs
module 160, question# 45, 11527 vs 6016 differs
module 160, question# 46, 11528 vs 6017 differs
module 160, question# 47, 11535 vs 6018 differs
module 160, question# 48, 11543 vs 6019 differs
module 160, question# 49, 11553 vs 6027 differs
module 160, question# 50, 11559 vs 6028 differs
module 160, question# 51, 11572 vs 6040 differs
module 160, question# 52, 12605 vs 6041 differs
module 160, question# 53, 12606 vs 6042 differs
module 160, question# 54, 12607 vs 6043 differs
module 160, question# 55, 12608 vs 6044 differs
module 160, question# 56, 12609 vs 6045 differs
module 160, question# 57, 12610 vs 6046 differs
module 160, question# 58, 12611 vs 6047 differs
module 160, question# 59, 12612 vs 6053 differs
module 160, question# 60, 12613 vs 6054 differs
module 160, question# 61, 12614 vs 6055 differs
module 160, question# 62, 12615 vs 6056 differs
module 160, question# 63, 12616 vs 6057 differs
module 160, question# 64, 12617 vs 6058 differs
module 160, question# 65, 12618 vs 6063 differs
module 160, question# 66, 12619 vs 6064 differs
module 160, question# 67, 12620 vs 8968 differs
module 160, question# 68, 12621 vs 6065 differs
module 160, question# 69, 12622 vs 6066 differs
module 160, question# 70, 12623 vs 6068 differs
module 160, question# 71, 12624 vs 6069 differs
module 160, question# 72, 11583 vs 6070 differs
module 160, question# 73, 11584 vs 6071 differs
module 160, question# 74, 11585 vs 7224 differs
module 160, question# 75, 11586 vs 7225 differs
module 160, question# 76, 11587 vs 7226 differs
module 160, question# 77, 11595 vs 7227 differs
module 160, question# 78, 11596 vs 7228 differs
module 160, question# 79, 11608 vs 10157 differs
module 160, question# 80, 11609 vs 7234 differs
module 160, question# 81, 11610 vs 7241 differs
module 160, question# 82, 11611 vs 7248 differs
module 160, question# 83, 11612 vs 7258 differs
module 160, question# 84, 11613 vs 7264 differs
module 160, question# 85, 11614 vs 7287 differs
module 160, question# 86, 11615 vs 7292 differs
module 160, question# 87, 11621 vs 7295 differs
module 160, question# 88, 11622 vs 7296 differs
module 160, question# 89, 11623 vs 7297 differs
module 160, question# 90, 11624 vs 7298 differs
module 160, question# 91, 11625 vs 7306 differs
module 160, question# 92, 11626 vs 7307 differs
module 160, question# 93, 11630 vs 7318 differs
module 160, question# 94, 11631 vs 7319 differs
module 160, question# 95, 11632 vs 7320 differs
module 160, question# 96, 11635 vs 7321 differs
module 160, question# 97, 11636 vs 7322 differs
module 160, question# 98, 11637 vs 7323 differs
module 160, question# 99, 11638 vs 7324 differs  <-------------------------
module 160, question# 100, 11639 vs 7325 differs 
module 160, question# 101, 11640 vs 7331 differs
module 160, question# 102, 11656 vs 7332 differs
module 160, question# 103, 11657 vs 7333 differs
module 160, question# 104, 11658 vs 7334 differs
module 160, question# 105, 11659 vs 7335 differs
module 160, question# 106, 11660 vs 7336 differs
module 160, question# 107, 11667 vs 7341 differs
module 160, question# 108, 11675 vs 7342 differs
module 160, question# 109, 11685 vs 8969 differs
module 160, question# 110, 11691 vs 7343 differs
module 160, question# 111, 11704 vs 7344 differs
module 160, question# 112, 12625 vs 7346 differs
module 160, question# 113, 12626 vs 7347 differs
module 160, question# 114, 12627 vs 7348 differs
module 160, question# 115, 12628 vs 7349 differs
module 160, question# 116, 12629 vs 7350 differs
module 160, question# 117, 12630 vs 7351 differs
module 160, question# 118, 12631 vs 7352 differs
module 160, question# 119, 12632 vs 7353 differs
module 160, question# 120, 12633 vs 7354 differs
module 160, question# 121, 12634 vs 10158 differs
module 160, question# 122, 12635 vs 7360 differs
module 160, question# 123, 12636 vs 7367 differs
module 160, question# 124, 12637 vs 7374 differs
module 160, question# 125, 12638 vs 7384 differs
module 160, question# 126, 12639 vs 7390 differs
module 160, question# 127, 12640 vs 7413 differs
module 160, question# 128, 12641 vs 7418 differs
module 160, question# 129, 12642 vs 7421 differs
module 160, question# 130, 12643 vs 7422 differs
module 160, question# 131, 12644 vs 7423 differs
module 160, question# 132, 11715 vs 7424 differs
module 160, question# 133, 11716 vs 7432 differs
module 160, question# 134, 11717 vs 7433 differs
module 160, question# 135, 11718 vs 7444 differs
module 160, question# 136, 11719 vs 7445 differs
module 160, question# 137, 11727 vs 7446 differs
module 160, question# 138, 11728 vs 7447 differs
module 160, question# 139, 11740 vs 7448 differs
module 160, question# 140, 11741 vs 7449 differs
module 160, question# 141, 11742 vs 7450 differs
module 160, question# 142, 11743 vs 7451 differs
module 160, question# 143, 11744 vs 7457 differs
module 160, question# 144, 11745 vs 7458 differs
module 160, question# 145, 11746 vs 7459 differs
module 160, question# 146, 11747 vs 7460 differs
module 160, question# 147, 11753 vs 7461 differs
module 160, question# 148, 11754 vs 7462 differs
module 160, question# 149, 11755 vs 7467 differs
module 160, question# 150, 11756 vs 7468 differs
module 160, question# 151, 11757 vs 8970 differs
module 160, question# 152, 11758 vs 7469 differs
module 160, question# 153, 11762 vs 7470 differs
module 160, question# 154, 11763 vs 7472 differs
module 160, question# 155, 11764 vs 7473 differs
module 160, question# 156, 11767 vs 7474 differs
module 160, question# 157, 11768 vs 7475 differs
module 160, question# 158, 11769 vs 7476 differs
module 160, question# 159, 11770 vs 7477 differs
module 160, question# 160, 11771 vs 7478 differs
module 160, question# 161, 11772 vs 7479 differs
module 160, question# 162, 11788 vs 7480 differs
module 160, question# 163, 11789 vs 10159 differs
module 160, question# 164, 11790 vs 7486 differs
module 160, question# 165, 11791 vs 7493 differs
module 160, question# 166, 11792 vs 7500 differs
module 160, question# 167, 11799 vs 7510 differs
module 160, question# 168, 11807 vs 7516 differs
module 160, question# 169, 11817 vs 7539 differs
module 160, question# 170, 11823 vs 7544 differs
module 160, question# 171, 11836 vs 7547 differs
module 160, question# 172, 12645 vs 7548 differs
module 160, question# 173, 12646 vs 7549 differs
module 160, question# 174, 12647 vs 7550 differs
module 160, question# 175, 12648 vs 7558 differs
module 160, question# 176, 12649 vs 7559 differs
module 160, question# 177, 12650 vs 7570 differs
module 160, question# 178, 12651 vs 7571 differs
module 160, question# 179, 12652 vs 7572 differs
module 160, question# 180, 12653 vs 7573 differs
module 160, question# 181, 12654 vs 7574 differs
module 160, question# 182, 12655 vs 7575 differs
module 160, question# 183, 12656 vs 7576 differs
module 160, question# 184, 12657 vs 7577 differs
module 160, question# 185, 12658 vs 7583 differs
module 160, question# 186, 12659 vs 7584 differs
module 160, question# 187, 12660 vs 7585 differs
module 160, question# 188, 12661 vs 7586 differs
module 160, question# 189, 12662 vs 7587 differs
module 160, question# 190, 12663 vs 7588 differs
module 160, question# 191, 12664 vs 7593 differs
module 160, question# 192, 11847 vs 7594 differs
module 160, question# 193, 11848 vs 8971 differs
module 160, question# 194, 11849 vs 7595 differs
module 160, question# 195, 11850 vs 7596 differs
module 160, question# 196, 11851 vs 7598 differs
module 160, question# 197, 11859 vs 7599 differs
module 160, question# 198, 11860 vs 7600 differs
module 160, question# 199, 11872 vs 7601 differs
module 160, question# 200, 11873 vs 7602 differs
module 160, question# 201, 11874 vs 7603 differs
module 160, question# 202, 11875 vs 7604 differs
module 160, question# 203, 11876 vs 7605 differs
module 160, question# 204, 11877 vs 7606 differs
module 160, question# 205, 11878 vs 10160 differs
module 160, question# 206, 11879 vs 7612 differs
module 160, question# 207, 11885 vs 7619 differs
module 160, question# 208, 11886 vs 7626 differs
module 160, question# 209, 11887 vs 7636 differs
module 160, question# 210, 11888 vs 7642 differs
module 160, question# 211, 11889 vs 7665 differs
module 160, question# 212, 11890 vs 7670 differs
module 160, question# 213, 11894 vs 7673 differs
module 160, question# 214, 11895 vs 7674 differs
module 160, question# 215, 11896 vs 7675 differs
module 160, question# 216, 11899 vs 7676 differs
module 160, question# 217, 11900 vs 7684 differs
module 160, question# 218, 11901 vs 7685 differs
module 160, question# 219, 11902 vs 7696 differs
module 160, question# 220, 11903 vs 7697 differs
module 160, question# 221, 11904 vs 7698 differs
module 160, question# 222, 11920 vs 7699 differs
module 160, question# 223, 11921 vs 7700 differs
module 160, question# 224, 11922 vs 7701 differs
module 160, question# 225, 11923 vs 7702 differs
module 160, question# 226, 11924 vs 7703 differs
module 160, question# 227, 11931 vs 7709 differs
module 160, question# 228, 11939 vs 7710 differs
module 160, question# 229, 11949 vs 7711 differs
module 160, question# 230, 11955 vs 7712 differs
module 160, question# 231, 11968 vs 7713 differs
module 160, question# 232, 12665 vs 7714 differs
module 160, question# 233, 12666 vs 7719 differs
module 160, question# 234, 12667 vs 7720 differs
module 160, question# 235, 12668 vs 8972 differs
module 160, question# 236, 12669 vs 7721 differs
module 160, question# 237, 12670 vs 7722 differs
module 160, question# 238, 12671 vs 7724 differs
module 160, question# 239, 12672 vs 7725 differs
module 160, question# 240, 12673 vs 7726 differs
module 160, question# 241, 12674 vs 7727 differs
module 160, question# 242, 12675 vs 7728 differs
module 160, question# 243, 12676 vs 7729 differs
module 160, question# 244, 12677 vs 7730 differs
module 160, question# 245, 12678 vs 7731 differs
module 160, question# 246, 12679 vs 7732 differs
module 160, question# 247, 12680 vs 10161 differs
module 160, question# 248, 12681 vs 7738 differs
module 160, question# 249, 12682 vs 7745 differs
module 160, question# 250, 12683 vs 7752 differs
module 160, question# 251, 12684 vs 7762 differs
module 160, question# 252, 11979 vs 7768 differs
module 160, question# 253, 11980 vs 7791 differs
module 160, question# 254, 11981 vs 7796 differs
module 160, question# 255, 11982 vs 7797 differs
module 160, question# 256, 11983 vs 7798 differs
module 160, question# 257, 11991 vs 7799 differs
module 160, question# 258, 11992 vs 7800 differs
module 160, question# 259, 12004 vs 7801 differs
module 160, question# 260, 12005 vs 7802 differs
module 160, question# 261, 12006 vs 7810 differs
module 160, question# 262, 12007 vs 7811 differs
module 160, question# 263, 12008 vs 7822 differs
module 160, question# 264, 12009 vs 7823 differs
module 160, question# 265, 12010 vs 7824 differs
module 160, question# 266, 12011 vs 7825 differs
module 160, question# 267, 12017 vs 7826 differs
module 160, question# 268, 12018 vs 7827 differs
module 160, question# 269, 12019 vs 7828 differs
module 160, question# 270, 12020 vs 7829 differs
module 160, question# 271, 12021 vs 7835 differs
module 160, question# 272, 12022 vs 7836 differs
module 160, question# 273, 12026 vs 7837 differs
module 160, question# 274, 12027 vs 7838 differs
module 160, question# 275, 12028 vs 7839 differs
module 160, question# 276, 12031 vs 7840 differs
module 160, question# 277, 12032 vs 7845 differs
module 160, question# 278, 12033 vs 7846 differs
module 160, question# 279, 12034 vs 8973 differs
module 160, question# 280, 12035 vs 7847 differs
module 160, question# 281, 12036 vs 7848 differs
module 160, question# 282, 12052 vs 7850 differs
module 160, question# 283, 12053 vs 7851 differs
module 160, question# 284, 12054 vs 7852 differs
module 160, question# 285, 12055 vs 7853 differs
module 160, question# 286, 12056 vs 7854 differs
module 160, question# 287, 12063 vs 7855 differs
module 160, question# 288, 12071 vs 7856 differs
module 160, question# 289, 12081 vs 7857 differs
module 160, question# 290, 12087 vs 7858 differs
