Responses that have english responsetext but not spanish responsetext
and are used in modules that need translating
----------------------------------------------------------
responseId=0854 : (moduleid=129, questionid=11398) missing
responseId=0855 : (moduleid=129, questionid=11398) missing
responseId=0856 : (moduleid=129, questionid=11398) missing
responseId=0857 : (moduleid=129, questionid=11398) missing
responseId=0858 : (moduleid=129, questionid=11398) missing
responseId=0873 : (moduleid=118, questionid=04900) missing
responseId=0888 : (moduleid=118, questionid=04900) missing
responseId=0889 : (moduleid=118, questionid=04900) missing
responseId=0893 : (moduleid=118, questionid=04919) missing
responseId=0894 : (moduleid=164, questionid=06121) missing
responseId=0895 : (moduleid=164, questionid=06121) missing
responseId=0896 : (moduleid=164, questionid=06121) missing
responseId=0897 : (moduleid=164, questionid=06121) missing
responseId=0898 : (moduleid=164, questionid=06121) missing
responseId=0899 : (moduleid=164, questionid=06121) missing
responseId=0900 : (moduleid=164, questionid=06121) missing
responseId=0901 : (moduleid=164, questionid=06121) missing
responseId=0902 : (moduleid=164, questionid=06121) missing
responseId=0903 : (moduleid=164, questionid=06121) missing
responseId=0904 : (moduleid=164, questionid=06121) missing
responseId=0906 : (moduleid=164, questionid=06122) missing
responseId=0907 : (moduleid=164, questionid=06122) missing
responseId=0908 : (moduleid=164, questionid=06122) missing
responseId=0909 : (moduleid=164, questionid=06122) missing
responseId=0910 : (moduleid=164, questionid=06122) missing
responseId=0911 : (moduleid=164, questionid=06122) missing
responseId=0912 : (moduleid=164, questionid=06122) missing
responseId=0913 : (moduleid=164, questionid=06122) missing
responseId=0914 : (moduleid=164, questionid=06122) missing
responseId=0984 : (moduleid=160, questionid=11505) missing
responseId=1007 : (moduleid=160, questionid=12533) missing
responseId=1008 : (moduleid=160, questionid=12533) missing
responseId=1009 : (moduleid=160, questionid=12533) missing
responseId=1010 : (moduleid=160, questionid=12533) missing
responseId=1011 : (moduleid=160, questionid=12508) missing
responseId=1012 : (moduleid=160, questionid=12509) missing
responseId=1013 : (moduleid=160, questionid=12509) missing
responseId=1014 : (moduleid=160, questionid=12536) missing
responseId=1015 : (moduleid=160, questionid=12536) missing
responseId=1016 : (moduleid=160, questionid=12536) missing
responseId=1017 : (moduleid=160, questionid=12536) missing
responseId=1018 : (moduleid=160, questionid=12536) missing
responseId=1019 : (moduleid=160, questionid=12536) missing
responseId=1020 : (moduleid=160, questionid=12536) missing
responseId=1021 : (moduleid=160, questionid=12519) missing
responseId=1022 : (moduleid=160, questionid=12519) missing
responseId=1023 : (moduleid=160, questionid=12519) missing
responseId=1024 : (moduleid=160, questionid=12536) missing
responseId=1025 : (moduleid=160, questionid=12537) missing
responseId=1026 : (moduleid=160, questionid=12537) missing
responseId=1027 : (moduleid=160, questionid=12537) missing
responseId=1031 : (moduleid=160, questionid=11634) missing
responseId=1032 : (moduleid=160, questionid=11634) missing
responseId=1033 : (moduleid=160, questionid=11634) missing
responseId=1034 : (moduleid=160, questionid=11634) missing
responseId=1036 : (moduleid=160, questionid=12591) missing
responseId=1037 : (moduleid=160, questionid=12591) missing
responseId=1038 : (moduleid=160, questionid=12591) missing
responseId=1039 : (moduleid=164, questionid=06120) missing
responseId=1117 : (moduleid=165, questionid=06133) blank
responseId=1119 : (moduleid=164, questionid=08111) missing
responseId=1138 : (moduleid=160, questionid=12556) missing
responseId=1139 : (moduleid=160, questionid=12556) missing
responseId=1140 : (moduleid=160, questionid=12556) missing
responseId=1141 : (moduleid=160, questionid=12556) missing
responseId=1142 : (moduleid=160, questionid=12556) missing
responseId=1143 : (moduleid=160, questionid=12556) missing
responseId=1144 : (moduleid=160, questionid=12556) missing
responseId=1145 : (moduleid=160, questionid=12556) missing
responseId=1146 : (moduleid=160, questionid=12556) missing
responseId=1163 : (moduleid=140, questionid=10170) missing
responseId=1166 : (moduleid=162, questionid=11492) missing
----------------------------------------------------------
modules: 118 129 140 160 162 164 165
